Handle,Title,Option1 Name,Option1 Value,Metafield: custom.product_layout [single_line_text_field],Metafield: custom.panel_title [single_line_text_field],Metafield: custom.panel_subtitle [single_line_text_field],Metafield: custom.panel_tagline [single_line_text_field],Metafield: custom.box_metrics [multi_line_text_field],Metafield: custom.pill_tags [single_line_text_field]
arka-cow-dung-incense-cups,"ARKA - Aurora's original blend - Camphor, Frankincense & Herbs",Title,Default Title,arka,ARKA — Cow Dung Incense Cups,"The Original Blend · Camphor, Frankincense & Herbs",One cup a day. Thirty days of calm.,"30|incense|cups — one for every day of the month
30 g|herbal incense powder
1|incense holder","Cow dung based,Lab tested,No synthetic fragrance,No charcoal,Zero-waste ash"
premium-handcrafted-coconut-shell-incense-holder,Premium Handcrafted Coconut Shell Incense Holder,Title,Default Title,arka,Premium Handcrafted Coconut Shell Incense Holder,Handcrafted Sustainable Lifestyle Series,Carved from one coconut shell. Built for a lifetime of rituals.,"1|handcrafted holder
100%|coconut shell
₹360|MRP incl. taxes","100% Organic,Biodegradable,Heat-resistant,Handcrafted"
aarambh-the-starter-collection-incense-sticks-by-aurora-stomatal-farms,Aarambh  The Starter Collection |    6 Incense Sticks | 1 Pack,Title,Default Title,standard,,,,,
